P_max,n_primes,T,T_idx,S_approx,S_ref,error_S,rel_error_S,N_approx,N_ref,error_N,error_smooth,improvement,time_ms
247,53,294.5190769508315,2,-0.36491645656008054,-0.3476525069644657,0.017263949595614836,4.965863685654199,133.98271353417053,134,0.017286465829471354,0.34762999073060996,95.02733760308178,0.04315376281738281
247,53,867.4148668796988,3,0.21444450170722498,-0.0989633716843822,0.3134078733916072,316.69077968679125,543.3134002283111,543,0.31340022831113856,0.09895572660389007,-216.7075206932172,0.046253204345703125
247,53,7395.165672598326,4,0.07529355731805805,0.0441366995286279,0.03115685778943015,70.5917255304086,7146.031155961061,7146,0.031155961060903792,0.044137596257314726,29.411740323895746,0.03910064697265625
247,53,294187.83250721806,5,0.06688773171592494,0.1978798282030371,0.13099209648711216,66.19780180560197,456701.869007881,456702,0.13099211902590469,0.19787985074799508,33.802194346342816,0.03933906555175781
247,53,1511531.4462892578,6,0.3571369140978594,-0.0621446757586852,0.4192815898565446,674.6862619167287,2740249.419281586,2740249,0.419281586073339,0.06214467203244567,-574.6862962836661,0.04315376281738281
247,53,3139939.9798384504,7,-0.8654557336387343,0.9580448740462444,1.8235006076849787,190.33561548986057,6057730.176499391,6057730,0.17649939097464085,1.0419551245868206,83.06074927702569,0.041961669921875
247,53,4808843.628725745,8,-0.8962333867941598,0.853499704118016,1.7497330909121758,205.0068772689621,9603696.25026691,9603696,0.2502669095993042,1.1465002968907356,78.17123028419456,0.04506111145019531
388,76,100.0,0,0.03427363167885735,-0.0024099022718167,0.03668353395067405,1522.2000651097042,29.036617219004206,29,0.03661721900420645,0.002343587325349006,-1462.4431233324506,0.09298324584960938
388,76,124.1145468943691,1,0.24427206327569487,-0.0526081147436789,0.2968801780193738,564.3239250557734,40.29682674769037,40,0.29682674769036765,0.05255468441467315,-464.7959853555782,0.06985664367675781
388,76,294.5190769508315,2,-0.39553739363526497,-0.3476525069644657,0.047884886670799265,13.773778618456411,133.95209259709534,134,0.04790740290465578,0.34762999073060996,86.21885217556479,2.2771358489990234
388,76,867.4148668796988,3,0.07109176560340694,-0.0989633716843822,0.17005513728778915,171.83644250737086,543.1700474922073,543,0.17004749220734539,0.09895572660389007,-71.84199241750665,0.12230873107910156
388,76,7395.165672598326,4,-0.009132081119104404,0.0441366995286279,0.0532687806477323,120.69044857597737,7145.946730322624,7146,0.0532696773761927,0.044137596257314726,-20.69002821458488,0.06580352783203125
388,76,294187.83250721806,5,0.15907487196419035,0.1978798282030371,0.03880495623884675,19.610364831644404,456701.9611950212,456702,0.038804978772532195,0.19787985074799508,80.38962601505531,0.0667572021484375
388,76,1511531.4462892578,6,0.3558357292631124,-0.0621446757586852,0.4179804050217976,672.592462538324,2740249.4179804013,2740249,0.4179804013110697,0.06214467203244567,-572.5924968963432,0.0667572021484375
388,76,3139939.9798384504,7,-0.8769555385018488,0.9580448740462444,1.8350004125480932,191.53595643156885,6057730.1649995865,6057730,0.16499958653002977,1.0419551245868206,84.16442487429974,0.054836273193359375
388,76,4808843.628725745,8,-0.8334421080065577,0.853499704118016,1.6869418121245738,197.64995863329733,9603696.313058188,9603696,0.3130581881850958,1.1465002968907356,72.69445206127749,0.062465667724609375
611,111,100.0,0,0.08396263645527059,-0.0024099022718167,0.08637253872708729,3584.068106711046,29.08630622378062,29,0.08630622378062114,0.002343587325349006,-3582.654486440716,0.13685226440429688
611,111,124.1145468943691,1,0.1739408353572667,-0.0526081147436789,0.2265489501009456,430.6349908274683,40.22649551977194,40,0.22649551977193738,0.05255468441467315,-330.9711347228647,0.10204315185546875
611,111,294.5190769508315,2,-0.48560497207039294,-0.3476525069644657,0.13795246510592724,39.68113629050506,133.8620250186602,134,0.13797498133979502,0.34762999073060996,60.309816466118306,2.029895782470703
611,111,867.4148668796988,3,0.003572854931381094,-0.0989633716843822,0.1025362266157633,103.61028011735067,543.1025285815352,543,0.10252858153523903,0.09895572660389007,-3.6105590388424305,0.15854835510253906
611,111,7395.165672598326,4,-0.035294177903078254,0.0441366995286279,0.07943087743170615,179.9656029563012,7145.92056822584,7146,0.07943177416018443,0.044137596257314726,-79.96397832158918,0.0820159912109375
611,111,294187.83250721806,5,0.20329945062889915,0.1978798282030371,0.005419622425862053,2.738845326013312,456702.0054195999,456702,0.005419599881861359,0.19787985074799508,97.26116637880257,0.08320808410644531
611,111,1511531.4462892578,6,0.36051491422591286,-0.0621446757586852,0.42265958998459807,680.1219651154557,2740249.422659586,2740249,0.4226595861837268,0.06214467203244567,-580.1219997798953,0.07534027099609375
611,111,3139939.9798384504,7,-0.8891021069070565,0.9580448740462444,1.8471469809533008,192.80380606306963,6057730.152853018,6057730,0.15285301767289639,1.0419551245868206,85.33017266616841,0.2167224884033203
611,111,4808843.628725745,8,-0.8486207942992823,0.853499704118016,1.7021204984172984,199.42836420502624,9603696.297879502,9603696,0.29787950217723846,1.1465002968907356,74.01836676492137,0.08893013000488281
961,162,100.0,0,0.10093521500396282,-0.0024099022718167,0.10334511727577952,4288.353037564176,29.10327880232931,29,0.10327880232931008,0.002343587325349006,-4306.868103962367,0.1289844512939453
961,162,124.1145468943691,1,0.19996606587659776,-0.0526081147436789,0.25257418062027664,480.1049835199133,40.25252075029127,40,0.25252075029126786,0.05255468441467315,-380.4914216567242,0.133514404296875
961,162,294.5190769508315,2,-0.47774187104745036,-0.3476525069644657,0.13008936408298466,37.41936602697399,133.86988811968317,134,0.13011188031683218,0.34762999073060996,62.57173322607249,0.12326240539550781
961,162,867.4148668796988,3,-0.006748467438040041,-0.0989633716843822,0.09221490424634216,93.18084325222617,543.0922072591659,543,0.0922072591658889,0.09895572660389007,6.819683579318876,0.12755393981933594
961,162,7395.165672598326,4,-0.007642467060846517,0.0441366995286279,0.051779166589474415,117.31544755830568,7145.948219936682,7146,0.0517800633178922,0.044137596257314726,-17.31509576557632,0.13208389282226562
961,162,294187.83250721806,5,0.20124306294517066,0.1978798282030371,0.0033632347421335695,1.699634961620585,456702.0033632122,456702,0.003363212221302092,0.19787985074799508,98.30037661308668,0.13875961303710938
961,162,1511531.4462892578,6,0.3258824623025657,-0.0621446757586852,0.3880271380612509,624.393213616568,2740249.3880271344,2740249,0.3880271343514323,0.06214467203244567,-524.3932450859886,0.11134147644042969
961,162,3139939.9798384504,7,-0.9291653669008284,0.9580448740462444,1.8872102409470728,196.9855788671521,6057730.112789758,6057730,0.11278975754976273,1.0419551245868206,89.17518087983984,0.2143383026123047
961,162,4808843.628725745,8,-0.8502388629296981,0.853499704118016,1.703738567047714,199.6179446609548,9603696.296261434,9603696,0.2962614335119724,1.1465002968907356,74.15949788103659,0.13518333435058594
1511,239,100.0,0,0.05816813581377218,-0.0024099022718167,0.06057803808558888,2513.713472701208,29.060511723139122,29,0.0605117231391219,0.002343587325349006,-2482.0127325577905,0.18548965454101562
1511,239,124.1145468943691,1,0.2139251143155147,-0.0526081147436789,0.2665332290591936,506.6390049478417,40.26647979873019,40,0.2664797987301881,0.05255468441467315,-407.0524192050663,0.1914501190185547
1511,239,294.5190769508315,2,-0.5081451468074455,-0.3476525069644657,0.1604926398429798,46.164672087172406,133.83948484392317,134,0.16051515607682632,0.34762999073060996,53.82586072637937,0.20551681518554688
1511,239,867.4148668796988,3,-0.04023163718490592,-0.0989633716843822,0.05873173449947628,59.346941701608344,543.058724089419,543,0.05872408941900176,0.09895572660389007,40.65619905549433,0.1976490020751953
1511,239,7395.165672598326,4,0.050390228819770795,0.0441366995286279,0.006253529291142895,14.168547621207466,7146.006252632563,7146,0.006252632562791405,0.044137596257314726,85.83377190198665,0.14853477478027344
1511,239,294187.83250721806,5,0.20599027123279473,0.1978798282030371,0.008110443029757636,4.0986709476196905,456702.0081104205,456702,0.00811042048735544,0.19787985074799508,95.90134091131681,0.1609325408935547
1511,239,1511531.4462892578,6,0.26594144610841336,-0.0621446757586852,0.32808612186709857,527.9392286816236,2740249.328086118,2740249,0.3280861182138324,0.06214467203244567,-427.9392544585946,0.1556873321533203
